FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Panicum riparium H. Scholz,Germany,"Altmärkisches Elbtal; Elbufer (rechtsseitig), ca. 700 m westlich Kirche Sandau. MTBQ /1.1  [ca. 52°47'23.5""N 12°02'15.7""E]",52.792781829833984,12.037779808044434,2000-10-12,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Dianthus carthusianorum,Germany,"Germany: Berlin. Berlin-Zehlendorf, Hirschberg, Silikat. 2001-08-16, Leg.: M. Meyer.",52.40726852416992,13.11581802368164,2001-08-16,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Dianthus giganteus subsp. giganteus,Germany,"Germany: Berlin. Berlin-Zehlendof, Hirschberg, Silikat. 2001-08-16, Leg.: M. Meyer.",52.427188873291016,13.261431694030762,2001-08-16,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Alnus glutinosa,Germany,"Germany: Brandenburg. Ostprignitz-Ruppin (Kreis). Linumhorst, Auwald mit Fraxinus exelsior. 2002-10-30, Leg.: Dürbye DÜR 2206.",52.79238128662109,12.922669410705566,2002-10-30,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Corispermum leptopterum,Germany,"Germany: Brandenburg. Oberhavel, Niederneuendorf, Brachacker. 24.8.2000. 2000-08-24, Leg.: Royl.",52.60860061645508,13.194499969482422,2000-08-24,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Chenopodium botrys,Germany,"Germany: Brandenburg. Kreis Barnim, Zepernick. Leg.: Royl.",52.65399932861328,13.527199745178224,,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Chenopodium hybridum,Germany,"Germany: Brandenburg. Kreis Oberhavel, Niederneuendorf. Leg.: Royl.",52.60860061645508,13.194499969482422,,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Potamogeton alpinus,Germany,"Germany: Brandenburg. Spreewald, Lübbenau, Großes Fließ bei Mühlendorf, an der Schleuse. 2002-07-01, Leg.: Weber.",51.8738899230957,14.145833015441896,2002-07-01,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Potentilla argentea L.,Germany,"Germany: Hessen, Limburger Becken, Runkel-Steeden, trockene Hänge im Kerkerbachtal. 02.06.1983, Leg.: H. Kalheber 83-1965. ex herb. / ded. : ex Herbarium Heinz Kalheber.",50.40888977050781,8.138609886169434,1983-06-02,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Leucanthemum ircutianum subsp. ircutianum DC.,Germany,"Limburger Becken, Runkel-Steeden, trockene Hänge im Kerkerbachtal",50.41667175292969,8.166669845581055,1983-06-02,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Impatiens sp.,Germany,"Germany: Brandenburg. SW Potsdam, E Caputh, Kiefernforst, Silikat. 2001-07-22, Leg.: Dürbye/Kirchhoff 1302.",52.340576171875,13.00678253173828,2001-07-22,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Carex pseudobrizoides Clavaud,Germany,"Mecklenburg-Vorpommern, Rostocker Heide, am Rande eines Waldweges zwischen Stuthof und Schnatermann, ca. 1 km nö Gasthaus Schnatermann.",54.17721939086914,12.159170150756836,1996-07-13,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Carex pseudobrizoides Clavaud,Germany,"Nordrhein-Westfalen, Lippstadt, südlich der Straße Lipperode-Mettinghausen, nw Merschgraben, TK 4216/34 & 4216/43.",51.70027923583984,8.418060302734375,1997-05-09,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
